> source("new2.r")
      [,1] [,2] [,3] [,4] [,5]
 [1,]    8   29   54  257  507
 [2,]    5   27   48  252  499
 [3,]    4   32   59  250  507
 [4,]    5   29   57  249  504
 [5,]    3   12   41  245  490
 [6,]    5   25   50  247  501
 [7,]    3   27   60  253  506
 [8,]    6   25   45  243  497
 [9,]    5   24   46  245  496
[10,]    5   27   52  257  497
[11,]    8   26   51  252  498
[12,]    5   32   60  254  505
[13,]    4   26   48  255  499
[14,]    8   24   46  254  500
[15,]    6   22   61  247  508
[16,]    3   21   44  251  498
[17,]    5   20   44  242  496
[18,]    3   23   47  256  507
[19,]    1   22   48  250  502
[20,]    8   27   39  241  483
      [,1] [,2] [,3] [,4] [,5]
 [1,]    9   24   50  256  506
 [2,]    3   24   49  248  496
 [3,]    3   26   50  250  508
 [4,]    3   28   49  244  498
 [5,]    3   29   49  248  495
 [6,]    7   33   51  255  506
 [7,]    9   32   51  249  493
 [8,]    5   30   50  251  501
 [9,]    4   30   50  251  508
[10,]    4   28   49  250  510
[11,]    3   26   50  251  507
[12,]    6   25   50  251  495
[13,]    8   24   49  254  503
[14,]    5   21   51  247  492
[15,]    4   20   48  246  490
[16,]    3   18   50  249  498
[17,]    3   18   49  244  489
[18,]    5   20   51  251  500
[19,]    4   20   50  250  501
[20,]    9   24   54  255  504
